央视,#genre#
CCTV1-综合,http://61.130.72.18:8888/tsfile/live/0001_1.m3u8
CCTV2-财经,http://61.130.72.18:8888/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://61.130.72.18:8888/tsfile/live/0003_1.m3u8
CCTV4-国际,http://61.130.72.18:8888/tsfile/live/0004_1.m3u8
CCTV5-体育,http://61.130.72.18:8888/tsfile/live/0005_1.m3u8
CCTV6-电影,http://61.130.72.18:8888/tsfile/live/0006_1.m3u8
CCTV7-军农,http://61.130.72.18:8888/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://61.130.72.18:8888/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://61.130.72.18:8888/tsfile/live/0009_1.m3u8
CCTV10-科教,http://61.130.72.18:8888/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://61.130.72.18:8888/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://61.130.72.18:8888/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://61.130.72.18:8888/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://61.130.72.18:8888/tsfile/live/0014_1.m3u8
CCTV15-音乐,http://61.130.72.18:8888/tsfile/live/0015_1.m3u8
卫视,#genre#
浙江卫视,http://61.130.72.18:8888/tsfile/live/0115_1.m3u8
湖南卫视,http://61.130.72.18:8888/tsfile/live/0128_1.m3u8
安徽卫视,http://61.130.72.18:8888/tsfile/live/0130_1.m3u8
江苏卫视,http://61.130.72.18:8888/tsfile/live/0127_1.m3u8
北京卫视,http://61.130.72.18:8888/tsfile/live/0122_1.m3u8
深圳卫视,http://61.130.72.18:8888/tsfile/live/0126_1.m3u8
重庆卫视,http://61.130.72.18:8888/tsfile/live/0142_1.m3u8
天津卫视,http://61.130.72.18:8888/tsfile/live/0135_1.m3u8
广东卫视,http://61.130.72.18:8888/tsfile/live/0125_1.m3u8
贵州卫视,http://61.130.72.18:8888/tsfile/live/0120_1.m3u8
四川卫视,http://61.130.72.18:8888/tsfile/live/0123_1.m3u8
东方卫视,http://61.130.72.18:8888/tsfile/live/0107_1.m3u8
云南卫视,http://61.130.72.18:8888/tsfile/live/0119_1.m3u8
东南卫视,http://61.130.72.18:8888/tsfile/live/0119_2.m3u8
辽宁卫视,http://61.130.72.18:8888/tsfile/live/0121_1.m3u8
